code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.LIST21033,Artificial Intelligence ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101031,False,N/A,False,,US_NYSE
US.LIST21034,Gene Editing ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101032,False,N/A,False,,US_NYSE
US.LIST21035,Biotechnology ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101033,False,N/A,False,,US_NYSE
US.LIST21037,Self-Driving ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101035,False,N/A,False,,US_NYSE
US.LIST21038,Gold ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101036,False,N/A,False,,US_NYSE
US.LIST21039,Oil ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101037,False,N/A,False,,US_NYSE
US.LIST21040,Emerging Asia Pacific ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101038,False,N/A,False,,US_NYSE
US.LIST21041,Energy ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101039,False,N/A,False,,US_NYSE
US.LIST21042,North America Real Estate ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101040,False,N/A,False,,US_NYSE
US.LIST21043,Dividend ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101041,False,N/A,False,,US_NYSE
US.LIST21044,Cloud Computing ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101042,False,N/A,False,,US_NYSE
US.LIST21045,Internet ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101043,False,N/A,False,,US_NYSE
US.LIST21056,Crypto Futures ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101054,False,N/A,False,,US_NYSE
US.LIST2106,Footwear & Accessories,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002106,False,N/A,False,,US_NYSE
US.LIST2108,Packaged Foods,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002108,False,N/A,False,,US_NYSE
US.LIST2110,Gold,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002110,False,N/A,False,,US_NYSE
US.LIST2113,CAR-T Therapy,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002113,False,N/A,False,,US_NYSE
US.LIST2118,Alibaba Ecosystem,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002118,False,N/A,False,,US_NYSE
US.LIST2124,China Mainland Education,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002124,False,N/A,False,,US_NYSE
US.LIST2136,Artificial Intelligence,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002136,False,N/A,False,,US_NYSE
US.LIST2139,Virtual Reality,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002139,False,N/A,False,,US_NYSE
US.LIST2140,REIT - Residential,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002140,False,N/A,False,,US_NYSE
US.LIST2141,REIT - Retail,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002141,False,N/A,False,,US_NYSE
US.LIST2145,REIT - Diversified,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002145,False,N/A,False,,US_NYSE
US.LIST2147,Room-Temp Superconductors,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002147,False,N/A,False,,US_NYSE
US.LIST2149,Brain-Computer Interface,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002149,False,N/A,False,,US_NYSE
US.LIST2152,Weight Loss Drugs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002152,False,N/A,False,,US_NYSE
US.LIST2153,ARK Portfolio,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002153,False,N/A,False,,US_NYSE
