code,is_long_permit,is_short_permit,short_pool_remain,short_fee_rate,alert_long_ratio,alert_short_ratio,im_long_ratio,im_short_ratio,mcm_long_ratio,mcm_short_ratio,mm_long_ratio,mm_short_ratio
US.DRI,True,True,144200.0,3.0,47.0,56.99999999999999,50.0,60.0,45.0,55.00000000000001,35.0,45.0
US.DRPRY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DSAQ,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOWAY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOX,True,True,441000.0,3.0,47.0,98.0,50.0,100.0,45.0,96.7,35.0,90.0
US.DRD,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DRS,True,True,677000.0,3.0,88.0,110.00000000000001,90.0,110.00000000000001,86.7,110.00000000000001,80.0,100.0
US.DNOPY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOGP,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DPDSY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DQ,True,True,660100.0,3.0,63.0,97.0,65.0,100.0,61.7,95.0,55.00000000000001,85.0
US.DSGR,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DNKEY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DNTUY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOVXD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DPNEY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DSAQU,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DSBX,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DSCSY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DNLI,True,True,310400.0,3.0,93.0,110.00000000000001,95.0,110.00000000000001,91.7,110.00000000000001,85.0,100.0
US.DPFD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DRH.PRA,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DNZOY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
